DATE,EMPLOY22M6
1947:01,"43,535 "
1947:02,"43,557 "
1947:03,"43,607 "
1947:04,"43,499 "
1947:05,"43,638 "
1947:06,"43,810 "
1947:07,"43,743 "
1947:08,"43,960 "
1947:09,"44,203 "
1947:10,"44,411 "
1947:11,"44,484 "
1947:12,"44,581 "
1948:01,"44,679 "
1948:02,"44,533 "
1948:03,"44,683 "
1948:04,"44,379 "
1948:05,"44,796 "
1948:06,"45,034 "
1948:07,"45,160 "
1948:08,"45,178 "
1948:09,"45,294 "
1948:10,"45,245 "
1948:11,"45,192 "
1948:12,"45,032 "
1949:01,"44,668 "
1949:02,"44,497 "
1949:03,"44,240 "
1949:04,"44,236 "
1949:05,"43,984 "
1949:06,"43,739 "
1949:07,"43,531 "
1949:08,"43,624 "
1949:09,"43,780 "
1949:10,"42,942 "
1949:11,"43,242 "
1949:12,"43,522 "
1950:01,"43,526 "
1950:02,"43,297 "
1950:03,"43,954 "
1950:04,"44,382 "
1950:05,"44,718 "
1950:06,"45,083 "
1950:07,"45,454 "
1950:08,"46,192 "
1950:09,"46,438 "
1950:10,"46,706 "
1950:11,"46,776 "
1950:12,"46,861 "
1951:01,"47,288 "
1951:02,"47,577 "
1951:03,"47,873 "
1951:04,"47,861 "
1951:05,"47,952 "
1951:06,"48,064 "
1951:07,"48,061 "
1951:08,"48,012 "
1951:09,"47,954 "
1951:10,"48,006 "
1951:11,"48,147 "
1951:12,"48,314 "
1952:01,"48,296 "
1952:02,"48,522 "
1952:03,"48,504 "
1952:04,"48,620 "
1952:05,"48,642 "
1952:06,"48,282 "
1952:07,"48,143 "
1952:08,"48,924 "
1952:09,"49,320 "
1952:10,"49,597 "
1952:11,"49,816 "
1952:12,"50,166 "
1953:01,"50,144 "
1953:02,"50,339 "
1953:03,"50,473 "
1953:04,"50,435 "
1953:05,"50,490 "
1953:06,"50,519 "
1953:07,"50,536 "
1953:08,"50,489 "
1953:09,"50,368 "
1953:10,"50,240 "
1953:11,"49,908 "
1953:12,"49,703 "
1954:01,"49,469 "
1954:02,"49,382 "
1954:03,"49,157 "
1954:04,"49,179 "
1954:05,"48,965 "
1954:06,"48,895 "
1954:07,"48,835 "
1954:08,"48,826 "
1954:09,"48,886 "
1954:10,"48,942 "
1954:11,"49,180 "
1954:12,"49,331 "
1955:01,"49,496 "
1955:02,"49,644 "
1955:03,"49,962 "
1955:04,"50,248 "
1955:05,"50,512 "
1955:06,"50,790 "
1955:07,"50,987 "
1955:08,"51,111 "
1955:09,"51,266 "
1955:10,"51,429 "
1955:11,"51,592 "
1955:12,"51,805 "
1956:01,"51,975 "
1956:02,"52,167 "
1956:03,"52,294 "
1956:04,"52,375 "
1956:05,"52,506 "
1956:06,"52,586 "
1956:07,"51,955 "
1956:08,"52,631 "
1956:09,"52,604 "
1956:10,"52,777 "
1956:11,"52,821 "
1956:12,"52,929 "
1957:01,"52,887 "
1957:02,"53,097 "
1957:03,"53,156 "
1957:04,"53,238 "
1957:05,"53,150 "
1957:06,"53,067 "
1957:07,"53,123 "
1957:08,"53,128 "
1957:09,"52,934 "
1957:10,"52,763 "
1957:11,"52,558 "
1957:12,"52,384 "
1958:01,"52,076 "
1958:02,"51,576 "
1958:03,"51,299 "
1958:04,"51,027 "
1958:05,"50,914 "
1958:06,"50,914 "
1958:07,"51,039 "
1958:08,"51,233 "
1958:09,"51,506 "
1958:10,"51,485 "
1958:11,"51,944 "
1958:12,"52,085 "
1959:01,"52,478 "
1959:02,"52,688 "
1959:03,"53,014 "
1959:04,"53,321 "
1959:05,"53,550 "
1959:06,"53,681 "
1959:07,"53,804 "
1959:08,"53,336 "
1959:09,"53,428 "
1959:10,"53,358 "
1959:11,"53,634 "
1959:12,"54,174 "
1960:01,"54,274 "
1960:02,"54,513 "
1960:03,"54,454 "
1960:04,"54,813 "
1960:05,"54,475 "
1960:06,"54,348 "
1960:07,"54,306 "
1960:08,"54,272 "
1960:09,"54,227 "
1960:10,"54,142 "
1960:11,"53,961 "
1960:12,"53,742 "
1961:01,"53,683 "
1961:02,"53,557 "
1961:03,"53,659 "
1961:04,"53,627 "
1961:05,"53,786 "
1961:06,"53,977 "
1961:07,"54,123 "
1961:08,"54,298 "
1961:09,"54,388 "
1961:10,"54,522 "
1961:11,"54,742 "
1961:12,"54,872 "
1962:01,"54,891 "
1962:02,"55,188 "
1962:03,"55,275 "
1962:04,"55,602 "
1962:05,"55,628 "
1962:06,"55,644 "
1962:07,"55,746 "
1962:08,"55,838 "
1962:09,"55,978 "
1962:10,"56,041 "
1962:11,"56,056 "
1962:12,"56,028 "
1963:01,"56,115 "
1963:02,"56,230 "
1963:03,"56,320 "
1963:04,"56,580 "
1963:05,"56,616 "
1963:06,"56,659 "
1963:07,"56,794 "
1963:08,"56,910 "
1963:09,"57,078 "
1963:10,"57,283 "
1963:11,"57,255 "
1963:12,"57,361 "
1964:01,"57,487 "
1964:02,"57,753 "
1964:03,"57,897 "
1964:04,"57,922 "
1964:05,"58,089 "
1964:06,"58,219 "
1964:07,"58,412 "
1964:08,"58,619 "
1964:09,"58,903 "
1964:10,"58,793 "
1964:11,"59,218 "
1964:12,"59,421 "
1965:01,"59,582 "
1965:02,"59,800 "
1965:03,"60,003 "
1965:04,"60,259 "
1965:05,"60,491 "
1965:06,"60,690 "
1965:07,"60,965 "
1965:08,"61,228 "
1965:09,"61,490 "
1965:10,"61,719 "
1965:11,"61,996 "
1965:12,"62,322 "
1966:01,"62,529 "
1966:02,"62,796 "
1966:03,"63,192 "
1966:04,"63,437 "
1966:05,"63,712 "
1966:06,"64,111 "
1966:07,"64,301 "
1966:08,"64,507 "
1966:09,"64,643 "
1966:10,"64,854 "
1966:11,"65,019 "
1966:12,"65,199 "
1967:01,"65,407 "
1967:02,"65,429 "
1967:03,"65,530 "
1967:04,"65,466 "
1967:05,"65,620 "
1967:06,"65,750 "
1967:07,"65,888 "
1967:08,"66,143 "
1967:09,"66,164 "
1967:10,"66,225 "
1967:11,"66,703 "
1967:12,"66,900 "
1968:01,"66,804 "
1968:02,"67,215 "
1968:03,"67,295 "
1968:04,"67,556 "
1968:05,"67,652 "
1968:06,"67,905 "
1968:07,"68,126 "
1968:08,"68,330 "
1968:09,"68,484 "
1968:10,"68,721 "
1968:11,"68,984 "
1968:12,"69,248 "
1969:01,"69,439 "
