"unique_id","date"
"nyt_ec_news66644","1993-01-28"
"nyt_ec_news66645","1993-01-28"
"nyt_ec_news66646","1993-01-28"
"nyt_ec_news66647","1993-01-28"
"nyt_ec_news66648","1993-01-28"
"nyt_ec_news66649","1993-01-28"
"nyt_ec_news66650","1993-01-28"
"nyt_ec_news66651","1993-01-28"
"nyt_ec_news66652","1993-01-28"
"nyt_ec_news66653","1993-01-28"
"nyt_ec_news66654","1993-01-28"
"nyt_ec_news66655","1993-01-28"
"nyt_ec_news66656","1993-01-28"
"nyt_ec_news66657","1993-01-28"
"nyt_ec_news66635","1993-01-29"
"nyt_ec_news66636","1993-01-29"
"nyt_ec_news66637","1993-01-29"
"nyt_ec_news66638","1993-01-29"
"nyt_ec_news66639","1993-01-29"
"nyt_ec_news66640","1993-01-29"
"nyt_ec_news66641","1993-01-29"
"nyt_ec_news66642","1993-01-29"
"nyt_ec_news66643","1993-01-29"
"nyt_ec_news66626","1993-01-30"
"nyt_ec_news66627","1993-01-30"
"nyt_ec_news66628","1993-01-30"
"nyt_ec_news66629","1993-01-30"
"nyt_ec_news66630","1993-01-30"
"nyt_ec_news66631","1993-01-30"
"nyt_ec_news66632","1993-01-30"
"nyt_ec_news66633","1993-01-30"
"nyt_ec_news66634","1993-01-30"
"nyt_ec_news66609","1993-01-31"
"nyt_ec_news66610","1993-01-31"
"nyt_ec_news66611","1993-01-31"
"nyt_ec_news66612","1993-01-31"
"nyt_ec_news66613","1993-01-31"
"nyt_ec_news66614","1993-01-31"
"nyt_ec_news66615","1993-01-31"
"nyt_ec_news66616","1993-01-31"
"nyt_ec_news66617","1993-01-31"
"nyt_ec_news66618","1993-01-31"
"nyt_ec_news66619","1993-01-31"
"nyt_ec_news66620","1993-01-31"
"nyt_ec_news66621","1993-01-31"
"nyt_ec_news66622","1993-01-31"
"nyt_ec_news66623","1993-01-31"
"nyt_ec_news66624","1993-01-31"
"nyt_ec_news66625","1993-01-31"
"nyt_ec_news66598","1993-02-01"
"nyt_ec_news66599","1993-02-01"
"nyt_ec_news66600","1993-02-01"
"nyt_ec_news66601","1993-02-01"
"nyt_ec_news66602","1993-02-01"
"nyt_ec_news66603","1993-02-01"
"nyt_ec_news66604","1993-02-01"
"nyt_ec_news66605","1993-02-01"
"nyt_ec_news66606","1993-02-01"
"nyt_ec_news66607","1993-02-01"
"nyt_ec_news66608","1993-02-01"
"nyt_ec_news66587","1993-02-02"
"nyt_ec_news66588","1993-02-02"
"nyt_ec_news66589","1993-02-02"
"nyt_ec_news66590","1993-02-02"
"nyt_ec_news66591","1993-02-02"
"nyt_ec_news66592","1993-02-02"
"nyt_ec_news66593","1993-02-02"
"nyt_ec_news66594","1993-02-02"
"nyt_ec_news66595","1993-02-02"
"nyt_ec_news66596","1993-02-02"
"nyt_ec_news66597","1993-02-02"
"nyt_ec_news66732","1993-02-04"
"nyt_ec_news66733","1993-02-04"
"nyt_ec_news66734","1993-02-04"
"nyt_ec_news66735","1993-02-04"
"nyt_ec_news66736","1993-02-04"
"nyt_ec_news66737","1993-02-04"
"nyt_ec_news66738","1993-02-04"
"nyt_ec_news66739","1993-02-04"
"nyt_ec_news66740","1993-02-04"
"nyt_ec_news66741","1993-02-04"
"nyt_ec_news66742","1993-02-04"
"nyt_ec_news66743","1993-02-04"
"nyt_ec_news66744","1993-02-04"
"nyt_ec_news66719","1993-02-05"
"nyt_ec_news66720","1993-02-05"
