"topic","term","beta"
1,"accord",0.00216789083235203
2,"accord",4.98073451888097e-07
3,"accord",4.40335429917094e-07
4,"accord",3.45981733548396e-07
5,"accord",4.75417459749429e-06
6,"accord",1.2701131489371e-05
7,"accord",5.38605636184819e-07
8,"accord",0.00318653981434978
9,"accord",0.00166034073580584
10,"accord",4.66590705699779e-07
11,"accord",0.00368298359572622
12,"accord",0.00304770253109296
13,"accord",0.00194126199218616
14,"accord",4.04544490994031e-07
15,"accord",0.00476176224653966
16,"accord",0.00369552682456038
17,"accord",0.0035866559887131
18,"accord",1.92247089529847e-05
19,"accord",0.00391905778673448
20,"accord",1.82785526596186e-05
21,"accord",0.00267480181377387
22,"accord",0.00626308159595211
23,"accord",0.00223094491161717
24,"accord",0.000236898922180832
25,"accord",0.000353965474026949
26,"accord",0.0055405947973532
27,"accord",0.00291165303263109
28,"accord",3.20886571089532e-07
29,"accord",5.66891495833914e-07
30,"accord",4.82195881468537e-07
1,"act",0.00111805304922239
2,"act",4.98073451888097e-07
3,"act",4.40335429917094e-07
4,"act",0.00194822314161101
5,"act",0.00368707849920216
6,"act",6.04815785208141e-07
7,"act",0.0001028736765113
8,"act",4.19226393152188e-07
9,"act",5.76307093302966e-07
10,"act",0.000546377716374441
11,"act",0.00388886757261855
12,"act",0.000160359897750034
13,"act",0.000543952589070157
14,"act",0.000190540455258188
15,"act",4.53457979862838e-07
16,"act",5.13910002024806e-07
17,"act",5.36041845570632e-07
18,"act",3.76955077509503e-07
19,"act",4.99816067687091e-07
20,"act",0.000116358591320987
21,"act",4.59508987076769e-07
22,"act",5.18853582632103e-07
23,"act",4.23248892357649e-07
24,"act",0.00157507047861148
25,"act",3.92858461739121e-07
26,"act",5.54558582459534e-07
27,"act",4.39760313038981e-07
28,"act",3.20886571089532e-07
29,"act",5.66891495833914e-07
30,"act",4.82195881468537e-07
1,"addit",1.98356447503757e-05
2,"addit",0.000125016436423912
3,"addit",0.00358036738065589
4,"addit",3.45981733548396e-07
5,"addit",4.32197690681299e-07
6,"addit",6.04815785208141e-07
7,"addit",0.000663023538143513
8,"addit",4.19226393152188e-07
9,"addit",0.000703670960922921
10,"addit",0.00205813160284172
