"variable","quarter","dispersion","f1_dispersion","variable_act","GB_nowcast","SPF_nowcast","GB_forecast1","SPF_forecast1","GB_now_error_abs","SPF_now_error_abs","GB_now_error_abs_std","SPF_now_error_abs_std","GB_SPF_now_gap_abs","GB_SPF_f1_gap_abs","GB_SPF_now_gap_abs_std","GB_SPF_f1_gap_abs_std","SPF_update_abs","GB_update_abs","SPF_update_abs_std","GB_update_abs_std","period"
"CPI",1993-01-01,0.4,0.5,3.7,3.8,3.0281,2.7,3.1,0.0999999999999996,0.6719,-0.621981986421107,-0.201128500985119,0.7719,0.4,-0.0721031133461725,-0.472375221204996,0.1309,1.4,-0.601498909322801,0.35585850742348,"1"
"CPI",1993-04-01,0.5,0.6,2.8,3.1,3.3143,2.4,3.2457,0.3,0.5143,0.281169939067076,-0.385529592366328,0.2143,0.8457,-0.749604621880607,0.044301512452864,0.2143,0.4,-0.492952649494472,-0.584310882559541,"2"
"CPI",1993-07-01,1,0.6,2,1.5,2.6276,3.6,3.2918,0.5,0.6276,1.18432186455526,-0.252962056493924,1.1276,0.3082,0.360083555566486,-0.578794167020099,0.6181,0.9,0.0325986660772225,-0.114226187568031,"3"
"CPI",1993-10-01,0.4,0.7,3.1,2.9,3.005,2.9,3.085,0.2,0.0950000000000002,-0.170406023677014,-0.876134780286004,0.105,0.185,-0.882407553879914,-0.721613492994182,0.2868,0.7,-0.398592891250421,-0.302260065564635,"4"
"CPI",1994-01-01,0.7,0.5,1.9,2.1,2.9554,3.6,3.0411,0.2,1.0554,-0.170406023677014,0.247588621760399,0.8554,0.5589,0.029352008538019,-0.288170749636152,0.1296,0.8,-0.60319087740166,-0.208243126566333,"5"
"CPI",1994-04-01,0.9,0.5,2.8,2.7,3.1618,3.7,3.1588,0.0999999999999996,0.3618,-0.621981986421107,-0.56396338954675,0.4618,0.5412,-0.448884350427464,-0.308689435267168,0.1207,0.9,-0.614774351172309,-0.114226187568031,"6"
"CPI",1994-07-01,0.3,0.6,3.6,3.8,3.2552,3.3,3.3431,0.2,0.3448,-0.170406023677016,-0.583854370216042,0.5448,0.0431000000000004,-0.348036744243178,-0.886110752375044,0.0964,0.0999999999999996,-0.646401139107901,-0.866361699554447,"7"
"CPI",1994-10-01,0.75,0.65,2.2,2.3,3.2107,3.1,3.4357,0.0999999999999996,1.0107,-0.621981986421107,0.195287043177023,0.9107,0.3357,0.0965432449475499,-0.546914853186599,0.1324,1,-0.599546638462579,-0.0202092485697285,"8"
"CPI",1995-01-01,0.4,0.5,3.2,3.2,3.2036,3.1,3.2779,0,0.0035999999999996,-1.0735579491652,-0.983078052825615,0.0035999999999996,0.1779,-1.00561173782072,-0.729844152202104,0.2321,0.1,-0.469785701953173,-0.866361699554447,"9"
"CPI",1995-04-01,0.3,0.5,3.2,3.5,3.4175,2.8,3.4198,0.3,0.2175,0.281169939067074,-0.732802713698454,0.0825,0.6198,-0.909745760375654,-0.217572560092145,0.1396,0.4,-0.590175738333514,-0.584310882559541,"10"
"CPI",1995-07-01,0.6,0.4,2.1,2,2.9143,2.8,3.2184,0.1,0.8143,-0.621981986421105,-0.0345122864376312,0.9143,0.4184,0.100917357986868,-0.451045062130945,0.5055,0.8,-0.11395179983009,-0.208243126566333,"11"
"CPI",1995-10-01,0.5,0.6,2.4,2.3,2.5911,3.1,2.9267,0.1,0.1911,-0.621981986421105,-0.763692236620179,0.2911,0.1733,-0.656290210375146,-0.735176691970616,0.6273,0.5,0.0445725940199163,-0.490293943561239,"12"
"CPI",1996-01-01,0.5,0.6,3.2,3.2,2.7684,3.4,2.6549,0,0.4316,-1.0735579491652,-0.482293363034006,0.4316,0.7451,-0.485578298701746,-0.0723188137889596,0.1583,0.1,-0.565837428276084,-0.866361699554447,"13"
