"topic","term","beta"
1,"ahead",0.000901561996912683
2,"ahead",0.000147921476108523
3,"ahead",0.000102606220886476
4,"ahead",0.000342779828087833
5,"ahead",0.000512618060465811
6,"ahead",0.000140561578741277
7,"ahead",0.000619888365194555
8,"ahead",0.00052510694220402
9,"ahead",2.76543160716935e-05
10,"ahead",2.65420802930124e-05
11,"ahead",1.89501137196994e-07
12,"ahead",3.55796974390604e-05
13,"ahead",8.4541579330022e-06
14,"ahead",7.36184366649578e-05
15,"ahead",0.00131064500216602
16,"ahead",0.000154786565738855
17,"ahead",0.000776984202104994
18,"ahead",6.4863247136635e-06
19,"ahead",0.000661033478711762
20,"ahead",0.000471981348365389
21,"ahead",0.00113633215047915
22,"ahead",1.76728714814877e-05
23,"ahead",0.000101499051256851
24,"ahead",0.000481551031014483
25,"ahead",9.12866224620129e-05
26,"ahead",0.000531421079592888
27,"ahead",1.64536794842418e-06
28,"ahead",5.30872923480131e-05
29,"ahead",0.00110565842714992
30,"ahead",0.000732927250811022
1,"approv",1.06679773545954e-12
2,"approv",6.94549702646132e-05
3,"approv",2.035258798189e-13
4,"approv",0.00107772014254787
5,"approv",8.79893472264112e-10
6,"approv",0.000513878422589884
7,"approv",1.73101301123934e-07
8,"approv",0.00032168051388227
9,"approv",2.39841990838051e-08
10,"approv",0.00533153235843081
11,"approv",0.000572031504501972
12,"approv",0.00125460138511474
13,"approv",1.61390143122921e-07
14,"approv",1.48080349599613e-09
15,"approv",2.24844128534342e-10
16,"approv",6.60938637796816e-10
17,"approv",0.00163362938210512
18,"approv",0.000491541175165361
19,"approv",2.53628049978006e-06
20,"approv",0.000296506375132059
21,"approv",7.68156523739251e-05
22,"approv",6.60626063647622e-06
23,"approv",2.57879984420814e-09
24,"approv",0.000182031033739969
25,"approv",1.86125779430151e-06
26,"approv",0.00338151675085641
27,"approv",1.59432887795128e-10
28,"approv",2.72154652905242e-10
29,"approv",4.01428173208248e-10
30,"approv",0.000724671881417595
1,"avail",0.000435429355805657
2,"avail",0.00195698200247126
3,"avail",0.00125105903280482
4,"avail",8.73020488683357e-05
5,"avail",3.24866280264243e-05
6,"avail",3.48211158362703e-05
7,"avail",0.000151772807392465
8,"avail",1.30787554260415e-05
9,"avail",0.000608011216508913
10,"avail",9.27964304587512e-05
11,"avail",0.000970760298134014
12,"avail",0.00102678261895008
13,"avail",0.000913001736176004
14,"avail",0.000320913019430582
15,"avail",0.00160843096517235
16,"avail",0.000196142128129439
17,"avail",1.37312375899821e-09
18,"avail",0.00193523432689347
19,"avail",7.66372757564118e-05
20,"avail",0.00134444576400049
21,"avail",8.49751369104419e-05
22,"avail",0.00419365714111057
23,"avail",9.54253165038468e-05
24,"avail",0.000148338235061298
25,"avail",0.000349829985061848
26,"avail",0.00016510856748348
27,"avail",0.000192108907243099
28,"avail",0.000888596153782276
29,"avail",0.000166268920849999
30,"avail",2.10276445007108e-05
1,"bank",9.8343988134676e-09
2,"bank",1.51525842321999e-06
3,"bank",3.84023805457621e-13
4,"bank",0.00366125175298213
5,"bank",2.13558268428976e-08
6,"bank",1.57344905037973e-06
7,"bank",1.57053509992138e-05
8,"bank",0.00334424895467875
9,"bank",5.47790420650152e-14
10,"bank",4.55353375019036e-07
11,"bank",2.12114835423942e-15
12,"bank",1.52307528997893e-09
13,"bank",0.151558401733913
14,"bank",0.0020022344665901
15,"bank",2.1678198006781e-13
16,"bank",0.00526048575782932
17,"bank",1.16532825601031e-09
18,"bank",0.0145495944491447
19,"bank",0.0225493054443221
20,"bank",8.44695622150419e-08
21,"bank",5.62037287519681e-05
22,"bank",2.94781542126712e-06
23,"bank",0.00882312534794767
24,"bank",9.10047181951623e-06
25,"bank",6.68976670640285e-09
26,"bank",8.71184489963552e-14
27,"bank",6.59434777836956e-09
28,"bank",2.60449076819866e-10
29,"bank",6.21462948473056e-06
30,"bank",0.016996046970531
1,"committe",5.85757778087517e-11
2,"committe",2.27237574453837e-11
3,"committe",4.80231682498606e-11
4,"committe",5.26420624521585e-11
5,"committe",1.54039450610474e-09
6,"committe",0.000785884509765177
7,"committe",3.97925351392183e-08
8,"committe",3.53120991484072e-09
9,"committe",1.35183376133254e-10
10,"committe",0.00376293852398405
11,"committe",6.98731930472993e-09
12,"committe",5.31128953680232e-10
13,"committe",0.000782361791627945
14,"committe",1.95776399155552e-14
15,"committe",0.0143802017842409
16,"committe",6.02790706432309e-16
17,"committe",0.000261404717999124
18,"committe",2.03189496687512e-14
19,"committe",0.00358818435010579
20,"committe",1.47128425476549e-05
