"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","report, percent, sale, month, week, show, retail, depart, rose, consum, data, last",0.0264,0.024,0.0398
"Topic 2"," ","now, even, much, just, one, like, say, time, way, get, seem, think",0.0199,0.043,0.0509
"Topic 3"," ","school, incom, peopl, univers, famili, educ, work, student, american, new, studi, program",0.02,0.0377,0.0372
"Topic 4"," ","stock, percent, point, index, fell, rose, investor, share, gain, close, earn, week",0.0238,0.0238,0.0486
"Topic 5"," ","china, countri, state, unit, world, american, global, chines, trade, govern, south, develop",0.0205,0.029,0.0372
"Topic 6"," ","quarter, busi, increas, fourth, inventori, pace, continu, declin, spend, third, sector, second",0.0711,0.0275,0.0191
"Topic 7"," ","peopl, one, like, year, day, say, time, work, just, get, now, want",0.0188,0.0294,0.0509
"Topic 8"," ","fund, invest, investor, money, manag, capit, financi, stock, asset, firm, return, interest",0.0243,0.0411,0.0317
"Topic 9"," ","citi, new, build, develop, york, plan, project, center, offic, million, area, communiti",0.0201,0.0302,0.0408
"Topic 10"," ","job, worker, unemploy, employ, labor, wage, work, month, economi, forc, hire, hour",0.0319,0.0289,0.029
"Topic 11"," ","period, remain, declin, term, intermeet, chang, net, condit, spread, increas, littl, continu",0.0618,0.0328,0.0151
"Topic 12"," ","state, new, rule, law, deal, offici, case, board, regul, use, group, public",0.0206,0.0517,0.042
"Topic 13"," ","dollar, trade, japan, import, export, foreign, currenc, unit, economi, japanes, valu, exchang",0.0319,0.029,0.0267
"Topic 14"," ","inflat, particip, expect, continu, risk, remain, term, longer, outlook, note, indic, activ",0.0741,0.0374,0.015
"Topic 15"," ","hous, home, real, mortgag, new, estat, year, sale, apart, price, start, properti",0.0284,0.027,0.0286
"Topic 16"," ","compani, million, busi, billion, execut, share, profit, year, corpor, analyst, oper, last",0.0191,0.0276,0.0422
"Topic 17"," ","presid, elect, polit, vote, administr, hous, support, white, polici, issu, congress, nation",0.0196,0.0307,0.0458
"Topic 18"," ","bank, loan, credit, financi, borrow, debt, interest, mortgag, lend, financ, lender, card",0.0287,0.0517,0.0319
"Topic 19"," ","european, bank, europ, euro, countri, central, union, govern, germani, german, franc, debt",0.021,0.0302,0.0366
"Topic 20"," ","growth, spend, consum, economi, forecast, project, expect, slow, real, staff, household, incom",0.0544,0.032,0.0216
"Topic 21"," ","member, effect, busi, relat, might, recent, demand, like, pressur, prospect, expans, potenti",0.0612,0.0446,0.0197
"Topic 22"," ","cost, pay, health, care, insur, save, year, plan, money, peopl, benefit, retir",0.02,0.0348,0.0354
"Topic 23"," ","product, industri, manufactur, car, factori, produc, high, plant, new, demand, gas, cost",0.0289,0.0322,0.0279
"Topic 24"," ","price, inflat, oil, energi, increas, consum, month, rise, measur, core, higher, food",0.05,0.0291,0.0225
"Topic 25"," ","bond, secur, treasuri, million, agenc, yield, debt, issu, note, billion, back, feder",0.0336,0.0282,0.0267
"Topic 26"," ","tax, cut, state, budget, spend, year, billion, govern, plan, propos, increas, deficit",0.0211,0.0272,0.0384
"Topic 27"," ","govern, polit, nation, minist, russia, countri, power, war, state, militari, leader, prime",0.0191,0.03,0.0445
"Topic 28"," ","committe, polici, feder, monetari, condit, fund, rang, meet, member, reserv, direct, target",0.0788,0.0471,0.0172
"Topic 29"," ","fed, economi, interest, feder, polici, reserv, rais, term, point, short, meet, central",0.0262,0.0359,0.0367
"Topic 30"," ","percent, year, last, sinc, month, two, averag, increas, three, first, accord, compar",0.0247,0.026,0.0406
