"topic","term","beta"
1,"ahead",1.95644063190685e-07
2,"ahead",8.63297034204019e-05
3,"ahead",8.00938852895375e-06
4,"ahead",2.49224103061145e-07
5,"ahead",2.35620493610797e-07
6,"ahead",0.000899825918595173
7,"ahead",5.18064211156953e-05
8,"ahead",0.000336415450600743
9,"ahead",2.64318048621545e-06
10,"ahead",3.1619435374617e-06
11,"ahead",2.06449353947714e-07
12,"ahead",0.00116029677289385
13,"ahead",0.000968224748549758
14,"ahead",3.03023599780975e-07
15,"ahead",0.000937339853303719
16,"ahead",2.14610558023935e-07
17,"ahead",0.000586517240236725
18,"ahead",0.00146302465774087
19,"ahead",2.57418611314115e-07
20,"ahead",2.93794214193022e-07
21,"ahead",3.40801405526036e-05
22,"ahead",2.83291495900914e-07
23,"ahead",0.000434720362743397
24,"ahead",2.85064907854194e-07
25,"ahead",2.85158389801824e-07
26,"ahead",0.000766388604919837
27,"ahead",2.33292394052911e-06
28,"ahead",2.99729374347901e-07
29,"ahead",3.05556888123096e-07
30,"ahead",0.000613787008774215
31,"ahead",0.000835592697126756
32,"ahead",0.000579079347210117
33,"ahead",2.8333243139176e-07
34,"ahead",0.000869354036679452
35,"ahead",0.00210639527906597
36,"ahead",6.19100694331414e-06
37,"ahead",2.50540980612388e-07
38,"ahead",0.00233062136412369
39,"ahead",2.00616561565879e-05
40,"ahead",0.00186096990546649
1,"approv",0.00176099221277935
2,"approv",9.80475856021185e-06
3,"approv",3.81399453759702e-07
4,"approv",2.49224103061145e-07
5,"approv",2.59182542971876e-06
6,"approv",2.61501284102056e-07
7,"approv",2.1496440296969e-07
8,"approv",0.00196975125747957
9,"approv",2.40289135110496e-07
10,"approv",2.87449412496519e-07
11,"approv",0.000223171751617479
12,"approv",5.43767735567304e-06
13,"approv",1.71034225145691e-07
14,"approv",3.03023599780975e-07
15,"approv",3.05223006611435e-07
16,"approv",2.14610558023935e-07
17,"approv",2.8320484801387e-07
18,"approv",0.00441464602323199
19,"approv",2.57418611314115e-07
20,"approv",2.93794214193022e-07
21,"approv",1.69552938072654e-07
22,"approv",2.83291495900914e-07
23,"approv",4.98586980754305e-06
24,"approv",2.85064907854194e-07
25,"approv",2.85158389801824e-07
26,"approv",0.0023250180825373
27,"approv",2.12083994593555e-07
28,"approv",1.2288904348264e-05
29,"approv",3.05556888123096e-07
30,"approv",2.85349608914093e-07
31,"approv",1.54424819280495e-07
32,"approv",0.000112195134733017
33,"approv",2.8333243139176e-07
34,"approv",2.26335338890771e-07
35,"approv",2.67275127403371e-07
36,"approv",2.19680891536954e-06
37,"approv",0.00786473192240345
38,"approv",2.57783581918338e-07
39,"approv",2.47674767365283e-07
40,"approv",2.93482085706748e-07
1,"avail",0.00063995173069673
2,"avail",2.39140452688094e-07
3,"avail",0.00524843788318726
4,"avail",0.000556018973929414
5,"avail",2.35620493610797e-07
6,"avail",0.000983506329507831
7,"avail",2.1496440296969e-07
8,"avail",1.98944678060759e-07
9,"avail",0.00132423342359394
10,"avail",0.00237174510250877
11,"avail",2.06449353947714e-07
12,"avail",2.58937016936811e-07
13,"avail",1.71034225145691e-07
14,"avail",0.000100300811527503
15,"avail",3.05223006611435e-07
16,"avail",2.14610558023935e-07
17,"avail",2.8320484801387e-07
18,"avail",2.16712288215207e-07
19,"avail",2.57418611314115e-07
20,"avail",0.00471862887415413
21,"avail",1.69552938072654e-07
22,"avail",0.00347910286115912
23,"avail",2.37422371787765e-07
24,"avail",2.85064907854194e-07
25,"avail",2.85158389801824e-07
26,"avail",1.87335273752099e-07
27,"avail",2.12083994593555e-07
28,"avail",9.29161060478494e-06
29,"avail",3.05556888123096e-07
30,"avail",2.85349608914093e-07
31,"avail",1.54424819280495e-07
32,"avail",2.38206230855663e-07
33,"avail",0.000487615114425219
34,"avail",2.26335338890771e-07
35,"avail",2.67275127403371e-07
36,"avail",2.19680891536954e-06
37,"avail",2.50540980612388e-07
38,"avail",2.57783581918338e-07
39,"avail",0.00251662331119864
40,"avail",0.00344870798913999
1,"bank",1.95644063190685e-07
2,"bank",2.39140452688094e-07
3,"bank",3.81399453759702e-07
4,"bank",2.49224103061145e-07
5,"bank",2.35620493610797e-07
6,"bank",2.61501284102056e-07
7,"bank",2.1496440296969e-07
8,"bank",1.98944678060759e-07
9,"bank",2.40289135110496e-07
10,"bank",2.87449412496519e-07
11,"bank",2.06449353947714e-07
12,"bank",1.06164176944093e-05
13,"bank",1.71034225145691e-07
14,"bank",3.03023599780975e-07
15,"bank",3.05223006611435e-07
16,"bank",2.14610558023935e-07
17,"bank",2.8320484801387e-07
18,"bank",2.16712288215207e-07
19,"bank",2.57418611314115e-07
20,"bank",2.93794214193022e-07
21,"bank",1.69552938072654e-07
22,"bank",2.83291495900914e-07
23,"bank",2.37422371787765e-07
24,"bank",2.85064907854194e-07
25,"bank",2.85158389801824e-07
26,"bank",1.87335273752099e-07
27,"bank",2.12083994593555e-07
28,"bank",0.365055691216401
29,"bank",3.05556888123096e-07
30,"bank",2.85349608914093e-07
31,"bank",1.54424819280495e-07
32,"bank",2.38206230855663e-07
33,"bank",2.8333243139176e-07
34,"bank",2.26335338890771e-07
35,"bank",2.67275127403371e-07
36,"bank",1.9970990139723e-07
37,"bank",2.50540980612388e-07
38,"bank",2.57783581918338e-07
39,"bank",2.47674767365283e-07
