"topic","term","beta"
1,"ahead",6.96038853610801e-07
2,"ahead",0.00080046914722653
3,"ahead",7.23951879331723e-05
4,"ahead",0.000774471077937019
5,"ahead",0.000224343998556537
6,"ahead",3.20447038821951e-06
7,"ahead",0.000352696070781868
8,"ahead",0.000578576388844165
9,"ahead",4.51569614412885e-05
10,"ahead",8.71053967958006e-05
11,"ahead",0.00113728706346021
12,"ahead",7.33803897697972e-05
13,"ahead",2.85833893896084e-05
14,"ahead",0.000974599961619062
15,"ahead",0.000549115695355474
16,"ahead",0.000429990010392352
17,"ahead",0.000102178748852815
18,"ahead",1.39677258765482e-05
19,"ahead",0.000606217363776865
20,"ahead",0.000527334016041814
21,"ahead",0.000149906614674525
22,"ahead",0.00286303661686357
23,"ahead",0.00129317919895004
24,"ahead",0.000334437542833892
25,"ahead",0.000727170318553725
26,"ahead",0.000782917653737673
27,"ahead",1.28228138746594e-06
28,"ahead",1.65458939074531e-05
29,"ahead",0.00308691377739315
30,"ahead",2.15057359421192e-05
1,"approv",1.52524885700157e-09
2,"approv",0.00014573895737016
3,"approv",9.50310656504743e-09
4,"approv",7.08987232627785e-33
5,"approv",8.82711805170868e-37
6,"approv",5.57545839230991e-07
7,"approv",1.46145205813247e-11
8,"approv",2.64692637557319e-12
9,"approv",0.000266320067880444
10,"approv",9.47053889921187e-15
11,"approv",3.57099755813459e-12
12,"approv",0.000810655855047506
13,"approv",0.000407440788321331
14,"approv",6.0545076073719e-07
15,"approv",1.81994847747245e-22
16,"approv",0.000102259275807061
17,"approv",0.00350273363456109
18,"approv",0.000465610154855603
19,"approv",4.1623818535387e-05
20,"approv",0.000575837373516659
21,"approv",0.00264305737518727
22,"approv",0.00488248627588872
23,"approv",2.54349596495193e-13
24,"approv",5.57535644309243e-12
25,"approv",0.000997032522540513
26,"approv",0.00159343709388113
27,"approv",2.74172573613652e-09
28,"approv",0.00283566006584848
29,"approv",1.26971227070713e-16
30,"approv",4.44837728420418e-16
1,"avail",0.00111033987839073
2,"avail",2.08673603936519e-05
3,"avail",0.000545659452277481
4,"avail",0.000530478585342875
5,"avail",0.00368682422927183
6,"avail",0.00025709838550463
7,"avail",1.69175071532813e-05
8,"avail",1.91261198750731e-06
9,"avail",0.00066936010516371
10,"avail",0.00103746654609898
11,"avail",0.000770962944947854
12,"avail",0.00155513562115921
13,"avail",0.00236390853799248
14,"avail",0.000264120616776446
15,"avail",9.97210697014362e-06
16,"avail",6.50568269450559e-06
17,"avail",0.000415467086541059
18,"avail",6.11985530686782e-05
19,"avail",4.57286887102389e-05
20,"avail",9.34026300687557e-05
21,"avail",0.000233795070940805
22,"avail",0.00259559115846819
23,"avail",9.65634391984879e-07
24,"avail",0.000211926209561997
25,"avail",2.03946489482397e-05
26,"avail",2.78301033818614e-09
27,"avail",0.000134568958740824
28,"avail",0.00110856731232718
29,"avail",0.00195401396845619
30,"avail",0.00125305967203771
1,"bank",0.00112595356509213
2,"bank",0.000714338250645014
3,"bank",6.49295000938857e-09
4,"bank",1.03251583920539e-17
5,"bank",1.93326081597004e-16
6,"bank",2.66187598028178e-11
7,"bank",1.42760143381766e-07
8,"bank",0.00037411690523855
9,"bank",7.3701408259172e-06
10,"bank",1.46756521818824e-10
11,"bank",2.1812349927265e-07
12,"bank",1.96498431726674e-09
13,"bank",0.0142658827370015
14,"bank",0.00123033065744835
15,"bank",1.59732024082946e-16
16,"bank",1.18012241866813e-06
17,"bank",1.24888902590957e-09
18,"bank",0.176497530249337
19,"bank",0.0085447655320729
20,"bank",0.00135517057119401
21,"bank",3.70774064558558e-17
22,"bank",0.00606800581921751
23,"bank",0.00569708617122424
24,"bank",1.32497767792864e-10
25,"bank",2.60584443670489e-12
26,"bank",7.63642551965225e-12
27,"bank",0.0050138203155661
28,"bank",5.25011316964711e-12
29,"bank",5.03949421573684e-14
30,"bank",2.55598485349073e-07
1,"committe",2.84659310966307e-13
2,"committe",3.61005449066062e-13
3,"committe",2.95804341947752e-16
4,"committe",3.02405985473235e-14
5,"committe",2.26180851706367e-20
6,"committe",1.39342486301889e-15
7,"committe",2.98479684475688e-12
8,"committe",5.67967407000343e-14
9,"committe",5.49707876790262e-07
10,"committe",3.03477737016587e-13
11,"committe",5.33600949459048e-15
12,"committe",2.50721827547651e-14
13,"committe",7.48909744323177e-13
14,"committe",3.77592709331819e-06
15,"committe",0.0409876423780427
16,"committe",6.92106560155926e-12
17,"committe",0.00108221140953941
18,"committe",7.5646872156306e-05
19,"committe",1.42526761382696e-19
20,"committe",8.3336491084151e-13
21,"committe",0.00676945202710279
22,"committe",0.0555066313512584
23,"committe",5.69026623950005e-07
24,"committe",8.15431815150005e-10
25,"committe",3.38004248892228e-05
26,"committe",0.000433750930300766
27,"committe",4.48531243518436e-15
28,"committe",0.000953610834538512
29,"committe",0.00236749692590881
30,"committe",2.49200903388271e-15
1,"debt",0.0021143659535428
2,"debt",1.5534172060452e-11
3,"debt",1.36755210999684e-13
4,"debt",5.45732886616078e-14
5,"debt",0.00109714138613339
6,"debt",5.27842581234228e-13
7,"debt",0.000141183762962987
8,"debt",4.83909337328147e-07
