"topic","term","beta"
1,"ahead",0.000392691077021433
2,"ahead",3.5700427761355e-05
3,"ahead",0.00254598114992531
4,"ahead",0.000885316530813599
5,"ahead",0.00027846322055372
6,"ahead",5.89305403400174e-07
7,"ahead",1.16201647042145e-06
8,"ahead",9.49196173220708e-07
9,"ahead",0.00190123716133844
10,"ahead",6.04757664117593e-05
11,"ahead",1.25059261036196e-05
12,"ahead",8.80473131041696e-07
13,"ahead",8.66781717493303e-07
14,"ahead",8.39339506955186e-07
15,"ahead",1.22981111331111e-06
16,"ahead",0.000219251485975063
17,"ahead",8.06118882015708e-06
18,"ahead",1.24127538563323e-06
19,"ahead",8.86774031354556e-07
20,"ahead",1.03306532175336e-06
21,"ahead",7.63351203385004e-07
22,"ahead",1.44652277622437e-06
23,"ahead",1.16601350476841e-06
24,"ahead",0.00241870596178664
25,"ahead",0.000605583030099916
26,"ahead",0.00640096132937177
27,"ahead",9.67667331454123e-07
28,"ahead",0.00161084619579831
29,"ahead",1.33708852620025e-05
30,"ahead",1.12638788907742e-05
31,"ahead",0.000607402355846322
32,"ahead",0.00202131267067797
33,"ahead",1.04647062086056e-06
34,"ahead",1.07787869553161e-05
35,"ahead",4.19838436291164e-05
36,"ahead",1.19084607448417e-05
1,"approv",1.05846651488257e-06
2,"approv",5.85252914120573e-07
3,"approv",1.14118384129328e-06
4,"approv",8.04102207823432e-07
5,"approv",2.53148382321563e-05
6,"approv",5.89305403400174e-07
7,"approv",1.16201647042145e-06
8,"approv",9.49196173220708e-07
9,"approv",1.18015962839134e-06
10,"approv",0.000653375437115282
11,"approv",1.13690237305632e-06
12,"approv",0.00250142416528946
13,"approv",8.66781717493303e-07
14,"approv",8.39339506955186e-07
15,"approv",1.22981111331111e-06
16,"approv",0.00183161636565422
17,"approv",0.00165694072021592
18,"approv",1.24127538563323e-06
19,"approv",0.00599547922598815
20,"approv",1.03306532175336e-06
21,"approv",7.63351203385004e-07
22,"approv",1.44652277622437e-06
23,"approv",7.11268237908731e-05
24,"approv",1.22095202513208e-06
25,"approv",1.06056572697008e-06
26,"approv",1.03058466098402e-06
27,"approv",3.96743605896191e-05
28,"approv",0.00451896727141536
29,"approv",1.21553502381841e-06
30,"approv",1.12638788907742e-05
31,"approv",9.94111875362229e-07
32,"approv",7.83150976628425e-07
33,"approv",1.04647062086056e-06
34,"approv",1.07787869553161e-05
35,"approv",8.23212620178752e-07
36,"approv",1.08258734044016e-06
1,"avail",1.05846651488257e-06
2,"avail",6.4377820553263e-06
3,"avail",0.00133632627815443
4,"avail",4.1009212598995e-05
5,"avail",1.32601533597009e-05
6,"avail",5.89305403400174e-07
7,"avail",0.00596230650973247
8,"avail",0.0014532193412009
9,"avail",1.18015962839134e-06
10,"avail",1.18579934140705e-06
11,"avail",4.66129972953092e-05
12,"avail",8.80473131041696e-07
13,"avail",8.66781717493303e-07
14,"avail",8.39339506955186e-07
15,"avail",0.00220259170394019
16,"avail",7.53441532560353e-07
17,"avail",0.000828836777781605
18,"avail",0.00187556710769181
19,"avail",8.86774031354556e-07
20,"avail",0.00289361596623116
21,"avail",7.63351203385004e-07
22,"avail",1.44652277622437e-06
23,"avail",0.00415217409048032
24,"avail",1.22095202513208e-06
25,"avail",1.06056572697008e-06
26,"avail",0.00242290453797344
27,"avail",0.000117087747105949
28,"avail",8.42933645106391e-07
29,"avail",1.21553502381841e-06
30,"avail",0.000943093859854818
31,"avail",9.94111875362229e-07
32,"avail",7.83150976628425e-07
33,"avail",8.47641202897049e-05
34,"avail",9.7988972321055e-07
35,"avail",8.23212620178752e-07
36,"avail",0.000715590232030945
1,"bank",1.05846651488257e-06
2,"bank",5.85252914120573e-07
3,"bank",1.14118384129328e-06
4,"bank",8.84512428605775e-06
5,"bank",1.20546848724554e-06
