"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","fund, invest, investor, manag, money, stock, return, firm, asset, cash, pension, capit",0.0176,0.0297,0.0255
"Topic 2"," ","build, develop, citi, project, plan, new, center, area, space, offic, communiti, one",0.0149,0.0228,0.0298
"Topic 3"," ","committe, polici, monetari, feder, condit, fund, member, stabil, meet, rang, financi, growth",0.0637,0.0329,0.0125
"Topic 4"," ","report, month, week, show, depart, expect, data, rose, last, fell, sinc, percent",0.0189,0.0182,0.0305
"Topic 5"," ","stock, percent, point, index, rose, fell, share, investor, gain, earn, price, close",0.0177,0.018,0.0411
"Topic 6"," ","member, pressur, expans, relat, effect, recent, demand, prospect, current, like, labour, factor",0.0505,0.031,0.0139
"Topic 7"," ","economi, recess, now, even, fall, cut, time, mani, still, last, crisi, sinc",0.0165,0.0238,0.0308
"Topic 8"," ","secur, agenc, feder, purchas, committe, direct, back, reserv, program, account, system, follow",0.0403,0.0278,0.014
"Topic 9"," ","job, worker, employ, unemploy, labor, work, wage, hire, employe, benefit, hour, forc",0.0237,0.0219,0.0231
"Topic 10"," ","fed, interest, feder, reserv, polici, rais, economi, term, inflat, point, short, meet",0.0189,0.0266,0.0279
"Topic 11"," ","loan, credit, mortgag, borrow, debt, interest, lender, card, payment, pay, financ, consum",0.0211,0.03,0.023
"Topic 12"," ","particip, expect, inflat, continu, outlook, longer, term, project, remain, risk, staff, run",0.0677,0.0281,0.0116
"Topic 13"," ","govern, minist, russia, polit, prime, militari, reform, power, countri, forc, russian, nation",0.014,0.0219,0.0321
"Topic 14"," ","bond, million, treasuri, yield, secur, note, debt, issu, price, week, percent, investor",0.0174,0.0183,0.0237
"Topic 15"," ","sale, store, busi, retail, like, year, small, sell, food, car, custom, also",0.0158,0.0201,0.0249
"Topic 16"," ","get, say, peopl, now, make, think, just, want, one, thing, time, much",0.0136,0.0237,0.0366
"Topic 17"," ","quarter, sale, second, first, fourth, third, inventori, increas, declin, rose, level, pace",0.0444,0.019,0.0171
"Topic 18"," ","presid, polit, elect, vote, support, polici, candid, issu, right, conserv, nation, chang",0.0145,0.022,0.0318
"Topic 19"," ","year, last, month, first, two, end, week, next, three, sinc, time, ago",0.0191,0.0191,0.026
"Topic 20"," ","price, inflat, increas, consum, month, energi, measur, rise, core, cost, higher, index",0.045,0.0235,0.017
"Topic 21"," ","one, peopl, day, time, like, work, call, just, live, name, first, two",0.0141,0.022,0.0348
"Topic 22"," ","european, europ, euro, countri, union, germani, german, franc, debt, greec, govern, zone",0.0153,0.0195,0.0271
"Topic 23"," ","offici, presid, administr, meet, deal, white, hous, group, plan, secretari, negoti, issu",0.0144,0.0228,0.0328
"Topic 24"," ","product, oil, industri, manufactur, energi, price, produc, demand, gas, suppli, factori, output",0.0241,0.0215,0.0207
"Topic 25"," ","period, term, declin, remain, chang, littl, intermeet, spread, balanc, increas, equiti, net",0.0523,0.0265,0.0121
"Topic 26"," ","unit, american, state, countri, world, trade, nation, america, global, intern, mexico, brazil",0.0151,0.0221,0.0265
"Topic 27"," ","time, also, might, like, chang, risk, concern, statement, move, decis, need, view",0.0329,0.0396,0.0189
"Topic 28"," ","health, insur, law, care, cost, rule, bill, servic, case, plan, requir, protect",0.0149,0.0324,0.0281
"Topic 29"," ","busi, activ, continu, spend, invest, equip, sector, capit, remain, recent, suggest, construct",0.0489,0.024,0.0138
"Topic 30"," ","bank, financi, central, govern, billion, crisi, institut, lend, money, capit, financ, regul",0.0188,0.0452,0.0264
"Topic 31"," ","new, state, york, citi, million, governor, public, local, servic, year, offici, program",0.015,0.0206,0.0261
"Topic 32"," ","percent, year, increas, averag, last, compar, annual, rise, accord, sinc, estim, figur",0.0184,0.0194,0.0301
"Topic 33"," ","new, like, use, way, one, technolog, creat, research, make, chang, even, exampl",0.0158,0.0544,0.0309
"Topic 34"," ","growth, consum, spend, economi, slow, incom, household, product, domest, recent, forecast, continu",0.0386,0.025,0.0197
"Topic 35"," ","dollar, trade, japan, currenc, foreign, export, import, japanes, exchang, valu, yen, good",0.0249,0.0213,0.0208
"Topic 36"," ","tax, cut, budget, billion, spend, govern, plan, year, deficit, propos, fiscal, increas",0.0157,0.0207,0.0304
"Topic 37"," ","hous, home, real, estat, new, price, apart, properti, start, rent, sale, famili",0.0219,0.0199,0.0216
"Topic 38"," ","china, chines, countri, state, asia, india, year, korea, world, unit, south, north",0.0151,0.0197,0.024
"Topic 39"," ","compani, million, billion, execut, busi, share, profit, corpor, oper, analyst, industri, earn",0.0139,0.0204,0.0341
"Topic 40"," ","school, incom, peopl, famili, educ, student, work, univers, live, year, program, american",0.0148,0.0246,0.0282
